,0,9.8,0,0
,0.001,9.70768,0.0098,9.8e-06
,0.002,9.61624,0.0195077,2.93077e-05
,0.003,9.52565,0.0291239,5.84316e-05
,0.004,9.43592,0.0386496,9.70812e-05
,0.005,9.34703,0.0480855,0.000145167
,0.006,9.25899,0.0574325,0.000202599
,0.007,9.17177,0.0666915,0.000269291
,0.008,9.08537,0.0758633,0.000345154
,0.009,8.99978,0.0849487,0.000430103
,0.01,8.91501,0.0939484,0.000524051
,0.011,8.83103,0.102863,0.000626915
,0.012,8.74784,0.111694,0.000738609
,0.013,8.66543,0.120442,0.000859051
,0.014,8.58381,0.129108,0.000988159
,0.015,8.50295,0.137692,0.00112585
,0.016,8.42285,0.146194,0.00127205
,0.017,8.3435,0.154617,0.00142666
,0.018,8.26491,0.162961,0.00158962
,0.019,8.18705,0.171226,0.00176085
,0.02,8.10993,0.179413,0.00194026
,0.021,8.03354,0.187523,0.00212778
,0.022,7.95786,0.195556,0.00232334
,0.023,7.8829,0.203514,0.00252686
,0.024,7.80864,0.211397,0.00273825
,0.025,7.73508,0.219206,0.00295746
,0.026,7.66222,0.226941,0.0031844
,0.027,7.59004,0.234603,0.003419
,0.028,7.51854,0.242193,0.00366119
,0.029,7.44772,0.249712,0.00391091
,0.03,7.37756,0.257159,0.00416807
,0.031,7.30806,0.264537,0.0044326
,0.032,7.23922,0.271845,0.00470445
,0.033,7.17103,0.279084,0.00498353
,0.034,7.10348,0.286255,0.00526979
,0.035,7.03656,0.293359,0.00556315
,0.036,6.97028,0.300395,0.00586354
,0.037,6.90462,0.307366,0.00617091
,0.038,6.83958,0.31427,0.00648518
,0.039,6.77515,0.32111,0.00680629
,0.04,6.71132,0.327885,0.00713417
,0.041,6.6481,0.334596,0.00746877
,0.042,6.58548,0.341244,0.00781001
,0.043,6.52344,0.34783,0.00815784
,0.044,6.46199,0.354353,0.00851219
,0.045,6.40112,0.360815,0.00887301
,0.046,6.34082,0.367216,0.00924023
,0.047,6.28109,0.373557,0.00961378
,0.048,6.22192,0.379838,0.00999362
,0.049,6.16331,0.38606,0.0103797
,0.05,6.10526,0.392223,0.0107719
,0.051,6.04774,0.398329,0.0111702
,0.052,5.99077,0.404376,0.0115746
,0.053,5.93434,0.410367,0.011985
,0.054,5.87844,0.416302,0.0124013
,0.055,5.82306,0.42218,0.0128235
,0.056,5.76821,0.428003,0.0132515
,0.057,5.71387,0.433771,0.0136852
